topic,source_type,title,url,identifier,retrieved_at_utc,acquisition_conditions,storage_path,file_size_bytes,sha256,usage_conditions,completeness,local_status
research_sources_20260924T103000Z,crossref_metadata,Similitude considerations for roof snow loads,https://api.crossref.org/works/10.1016%2F0165-232X%2890%2990018-R,10.1016/0165-232X(90)90018-R,2026-09-24T09:55:42.280865+00:00,GET,data/raw/published_sources/20260924T103000Z/crst01.json,5446,09137a992dd45e7e9f52ac600baa875aae36dd2bc821605fc3fb94146a6ff89d,Crossref public bibliographic metadata; https://www.crossref.org/documentation/retrieve-metadata/rest-api/rest-api-metadata-license-information/,complete response body,verified
research_sources_20260924T103000Z,crossref_metadata,Large-scale measurements of snowdrifts around flat-roofed and single-pitch-roofed buildings,https://api.crossref.org/works/10.1016%2FS0165-232X%2899%2900021-X,10.1016/S0165-232X(99)00021-X,2026-09-24T09:55:42.280865+00:00,GET,data/raw/published_sources/20260924T103000Z/crst02.json,4986,36dfe7de103395dd61e5c57d5c1edc972fb5d87fc6a17af84d7b6c5e898976ba,Crossref public bibliographic metadata; https://www.crossref.org/documentation/retrieve-metadata/rest-api/rest-api-metadata-license-information/,complete response body,verified
research_sources_20260924T103000Z,crossref_metadata,Wind tunnel test of snow redistribution on flat roofs,https://api.crossref.org/works/10.1016%2Fj.coldregions.2016.04.006,10.1016/j.coldregions.2016.04.006,2026-09-24T09:55:42.280865+00:00,GET,data/raw/published_sources/20260924T103000Z/crst03.json,11405,eb8a99845062632a845dcfeafe5c13e6b5202028241a0b2394e039ddfe7d50c5,Crossref public bibliographic metadata; https://www.crossref.org/documentation/retrieve-metadata/rest-api/rest-api-metadata-license-information/,complete response body,verified
research_sources_20260924T103000Z,crossref_metadata,Computational fluid dynamics simulation of snowdrift around buildings: Past achievements and future perspectives,https://api.crossref.org/works/10.1016%2Fj.coldregions.2017.05.004,10.1016/j.coldregions.2017.05.004,2026-09-24T09:55:42.280865+00:00,GET,data/raw/published_sources/20260924T103000Z/crst04.json,41069,2f7a9228273a3c6bed1efc35e11615ee1b42ba1c2c6277bb6a843fad8deee331,Crossref public bibliographic metadata; https://www.crossref.org/documentation/retrieve-metadata/rest-api/rest-api-metadata-license-information/,complete response body,verified
research_sources_20260924T103000Z,crossref_metadata,Numerical simulation of snowdrift on a membrane roof and the mechanical performance under snow loads,https://api.crossref.org/works/10.1016%2Fj.coldregions.2017.09.007,10.1016/j.coldregions.2017.09.007,2026-09-24T09:55:42.280865+00:00,GET,data/raw/published_sources/20260924T103000Z/crst05.json,10531,453f874bdf6ef39ef107c9450c0a9a2ac4dcda9ada40d34c75778269f3b0b10f,Crossref public bibliographic metadata; https://www.crossref.org/documentation/retrieve-metadata/rest-api/rest-api-metadata-license-information/,complete response body,verified
research_sources_20260924T103000Z,crossref_metadata,Numerical simulations of development of snowdrifts on long-span spherical roofs,https://api.crossref.org/works/10.1016%2Fj.coldregions.2020.103211,10.1016/j.coldregions.2020.103211,2026-09-24T09:55:42.280865+00:00,GET,data/raw/published_sources/20260924T103000Z/crst06.json,20640,d7250d522e5620fb5fb1c6bff6cd0bef4e5d57e09db2a5bcc49f890f0c9c3031,Crossref public bibliographic metadata; https://www.crossref.org/documentation/retrieve-metadata/rest-api/rest-api-metadata-license-information/,complete response body,verified
research_sources_20260924T103000Z,crossref_metadata,A sensitivity analysis on effective parameters for sliding/melting prediction of snow cover on solar photovoltaic panels,https://api.crossref.org/works/10.1016%2Fj.coldregions.2021.103262,10.1016/j.coldregions.2021.103262,2026-09-24T09:55:42.280865+00:00,GET,data/raw/published_sources/20260924T103000Z/crst07.json,12524,70c00f626cbdad6b98d05a74528db4e7d86d0d40b2893665b2a0906bfd17a229,Crossref public bibliographic metadata; https://www.crossref.org/documentation/retrieve-metadata/rest-api/rest-api-metadata-license-information/,complete response body,verified
research_sources_20260924T103000Z,crossref_metadata,Considering snow depositions and transport mechanisms in meteorological analysis of predicting snow loads on buildings,https://api.crossref.org/works/10.1016%2Fj.coldregions.2022.103614,10.1016/j.coldregions.2022.103614,2026-09-24T09:55:42.280865+00:00,GET,data/raw/published_sources/20260924T103000Z/crst08.json,15930,5e0488102cf707a81fcad7c5a6a670509b9963faf392f545215488815a84f78e,Crossref public bibliographic metadata; https://www.crossref.org/documentation/retrieve-metadata/rest-api/rest-api-metadata-license-information/,complete response body,verified
research_sources_20260924T103000Z,crossref_metadata,A study of snow drifting on monoslope roofs during snowfall: Wind tunnel test and numerical simulation,https://api.crossref.org/works/10.1016%2Fj.coldregions.2022.103731,10.1016/j.coldregions.2022.103731,2026-09-24T09:55:42.280865+00:00,GET,data/raw/published_sources/20260924T103000Z/crst09.json,25513,da050ae41c328bff197d09234979418d47d2fffa49eab1f8f559a868ce1f20bb,Crossref public bibliographic metadata; https://www.crossref.org/documentation/retrieve-metadata/rest-api/rest-api-metadata-license-information/,complete response body,verified
research_sources_20260924T103000Z,crossref_metadata,Sensitivity analysis and practical application of an automatic snow-melting membrane roof,https://api.crossref.org/works/10.1016%2Fj.coldregions.2022.103754,10.1016/j.coldregions.2022.103754,2026-09-24T09:55:42.280865+00:00,GET,data/raw/published_sources/20260924T103000Z/crst10.json,14065,643f43560e8c36d67ff667a2faf331d115d91b448f3742180c2ced098a8525af,Crossref public bibliographic metadata; https://www.crossref.org/documentation/retrieve-metadata/rest-api/rest-api-metadata-license-information/,complete response body,verified
research_sources_20260924T103000Z,crossref_metadata,Measurement and estimation of temporal variations of roof snow load on semi-full-scale building model,https://api.crossref.org/works/10.1016%2Fj.coldregions.2025.104445,10.1016/j.coldregions.2025.104445,2026-09-24T09:55:42.280865+00:00,GET,data/raw/published_sources/20260924T103000Z/crst11.json,20424,360e6a7336618f55d8d96d621dfaded36b35825c9466b5f3ae7d9ce9511c9ff8,Crossref public bibliographic metadata; https://www.crossref.org/documentation/retrieve-metadata/rest-api/rest-api-metadata-license-information/,complete response body,verified
research_sources_20260924T103000Z,crossref_metadata,Shear and tensile adhesion of dry and wet snow on metallic surfaces,https://api.crossref.org/works/10.1016%2Fj.coldregions.2026.104971,10.1016/j.coldregions.2026.104971,2026-09-24T09:55:42.280865+00:00,GET,data/raw/published_sources/20260924T103000Z/crst12.json,22298,57e913a6f302d9bc90870a86ebc9dd34f77b05e777b3bb5890130d69abea06fe,Crossref public bibliographic metadata; https://www.crossref.org/documentation/retrieve-metadata/rest-api/rest-api-metadata-license-information/,complete response body,verified
research_sources_20260924T103000Z,crossref_metadata,Change of removing technique of snow on roof and recent situation of its technical development,https://api.crossref.org/works/10.5331%2Fseppyo.51.111,10.5331/seppyo.51.111,2026-09-24T09:55:42.280865+00:00,GET,data/raw/published_sources/20260924T103000Z/jp01.json,1777,4ebd0e9e5c10c13f135b670e3897ac09975d68bdb8f108fef822abc389c2b5f9,Crossref public bibliographic metadata; https://www.crossref.org/documentation/retrieve-metadata/rest-api/rest-api-metadata-license-information/,complete response body,verified
research_sources_20260924T103000Z,crossref_metadata,Assessment of the effectiveness of snow guards on a sloped roof,https://api.crossref.org/works/10.3130%2Faijt.9.67_1,10.3130/aijt.9.67_1,2026-09-24T09:55:42.280865+00:00,GET,data/raw/published_sources/20260924T103000Z/jp04.json,3695,968434a185f647186afed25aab0b2a014d7cba7f88e5f7fff873687a14eb43d4,Crossref public bibliographic metadata; https://www.crossref.org/documentation/retrieve-metadata/rest-api/rest-api-metadata-license-information/,complete response body,verified
research_sources_20260924T103000Z,crossref_metadata,Influence of the surface roughness of roofing materials on snow sliding,https://api.crossref.org/works/10.4106%2Fjsse.12.205,10.4106/jsse.12.205,2026-09-24T09:55:42.280865+00:00,GET,data/raw/published_sources/20260924T103000Z/jp05.json,2005,e98fa296f5538b35f6979d253bc6a7d90163d0b66a1dd33388d4110bb34e5519,Crossref public bibliographic metadata; https://www.crossref.org/documentation/retrieve-metadata/rest-api/rest-api-metadata-license-information/,complete response body,verified
