record_id,authors,year,title,journal_or_publisher,doi_or_identifier,url,evidence_role,claim_supported,transfer_limit,verification_confidence
CRST01,"Giever PM; Sack RL",1990,"Similitude considerations for roof snow loads","Cold Regions Science and Technology","10.1016/0165-232X(90)90018-R","https://doi.org/10.1016/0165-232X(90)90018-R","roof-load methods","Laboratory roof-snow loads require explicit similitude for prototype interpretation.","The retained source does not supply a universal scaling rule for this model.",Medium
CRST02,"Thiis TK; Gjessing Y",1999,"Large-scale measurements of snowdrifts around flat-roofed and single-pitch-roofed buildings","Cold Regions Science and Technology","10.1016/S0165-232X(99)00021-X","https://doi.org/10.1016/S0165-232X(99)00021-X","roof deposition","Roof geometry and wind orientation materially changed surrounding snowdrift size in same-footprint models.","Drift observations do not validate the present sliding model.",High
CRST03,"Zhou X; Kang L; Yuan X; Gu M",2016,"Wind tunnel test of snow redistribution on flat roofs","Cold Regions Science and Technology","10.1016/j.coldregions.2016.04.006","https://doi.org/10.1016/j.coldregions.2016.04.006","roof deposition","Wind-tunnel tests found nonuniform flat-roof deposition and transport dependent on wind velocity, span, and duration.","Silica-sand redistribution is not direct roof-snow shedding validation.",High
CRST04,"Tominaga Y",2018,"Computational fluid dynamics simulation of snowdrift around buildings: Past achievements and future perspectives","Cold Regions Science and Technology","10.1016/j.coldregions.2017.05.004","https://doi.org/10.1016/j.coldregions.2017.05.004","model validation","Building snow simulations require empirical validation, validation databases, and explicit limitations.","Review guidance does not validate any specific parameter in this study.",High
CRST05,"Sun X; He R; Wu Y",2018,"Numerical simulation of snowdrift on a membrane roof and the mechanical performance under snow loads","Cold Regions Science and Technology","10.1016/j.coldregions.2017.09.007","https://doi.org/10.1016/j.coldregions.2017.09.007","nonuniform load","A validated deposition workflow coupled nonuniform snow distributions to structural analysis and compared them with uniform loading.","This study does not model passive shedding or graded surfaces.",High
CRST06,"Zhang G; Zhang Q; Fan F; Shen S",2021,"Numerical simulations of development of snowdrifts on long-span spherical roofs","Cold Regions Science and Technology","10.1016/j.coldregions.2020.103211","https://doi.org/10.1016/j.coldregions.2020.103211","roof deposition","A multiphase model reproduced balanced, unbalanced, and transitional roof-snow distributions and edge slipping.","Different roof geometry and deposition physics limit direct parameter transfer.",High
CRST07,"Pawluk RE; Rezvanpour M; Chen Y; She Y",2021,"A sensitivity analysis on effective parameters for sliding/melting prediction of snow cover on solar photovoltaic panels","Cold Regions Science and Technology","10.1016/j.coldregions.2021.103262","https://doi.org/10.1016/j.coldregions.2021.103262","adjacent sliding evidence","Snow transmittance and transmitted solar radiation improved inclined-PV snow clearing predictions.","Photovoltaic panels are an adjacent surface, not general roof-system validation.","High; adjacent"
CRST08,"Zhang B; Zhang Q; Mo H; Fan F; Lehning M",2022,"Considering snow depositions and transport mechanisms in meteorological analysis of predicting snow loads on buildings","Cold Regions Science and Technology","10.1016/j.coldregions.2022.103614","https://doi.org/10.1016/j.coldregions.2022.103614","weather forcing","Precipitation-only estimates omit joint snowfall-wind deposition and transport mechanisms.","The present proof-of-concept omits wind redistribution and must state that limitation.",High
CRST09,"Zhou X; Zhang T; Liu Z; Gu M",2023,"A study of snow drifting on monoslope roofs during snowfall: Wind tunnel test and numerical simulation","Cold Regions Science and Technology","10.1016/j.coldregions.2022.103731","https://doi.org/10.1016/j.coldregions.2022.103731","slope effects","Monoslope tests separated lower-slope from higher-slope drift behavior and found strong approach-velocity effects.","Deposition trends are not direct friction or shedding coefficients.",High
CRST10,"Zou J; Sun X; Zhou H",2023,"Sensitivity analysis and practical application of an automatic snow-melting membrane roof","Cold Regions Science and Technology","10.1016/j.coldregions.2022.103754","https://doi.org/10.1016/j.coldregions.2022.103754","active comparator","An electrical-thermal membrane-roof model evaluated heating and weather controls.","Active melting is contextual comparison only, not passive-control evidence.","High; active control"
CRST11,"Tominaga Y; Igarashi K; Wakui M; Motoyoshi H; Ito Y",2025,"Measurement and estimation of temporal variations of roof snow load on semi-full-scale building model","Cold Regions Science and Technology","10.1016/j.coldregions.2025.104445","https://doi.org/10.1016/j.coldregions.2025.104445","field validation target","Load cells, drainage, meteorology, and ground snow measurements formed a roof-load validation dataset.","The current study has not calibrated against these measurements.",High
CRST12,"Fasani D; Cernuschi F; Wolfsperger F; Balordi M; Colombo LPM",2026,"Shear and tensile adhesion of dry and wet snow on metallic surfaces","Cold Regions Science and Technology","10.1016/j.coldregions.2026.104971","https://doi.org/10.1016/j.coldregions.2026.104971","interface mechanics","Snow liquid-water content and metallic-surface roughness strongly affected shear and tensile adhesion.","Material-interface evidence is not a roof-system parameter set.","High; adjacent"
JP01,"Kimura T",1989,"Change of removing technique of snow on roof and recent situation of its technical development","Snow and Ice","10.5331/seppyo.51.111","https://doi.org/10.5331/seppyo.51.111","Japanese retention practice","M-roof development addressed eave ice and icicle hazards rather than meaningful solar melting through the retained snowpack.","Historical Japanese practice is not a universal assembly specification.",High
JP02,"Hokkaido Research Organization; Hokkaido Building Guidance Center",2017,"Planning roof-snow treatment for detached houses","Official technical guide","official guide","https://www.hro.or.jp/upload/51707/yanenoyukishori.pdf","Japanese retention practice","M-shaped, low-slope, retention, and shedding strategies must be integrated with envelope, drainage, site, and maintenance planning.","Regional guidance and numerical rules cannot be generalized globally.",High
